date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),medianTxValue(USD),activeAddresses,paymentCount,blockCount
2018-06-25,208869761.779,112690,7233308160.0,8.07,905011968.0,393.947541,1430,2876,172778,
2018-06-26,97351774.6559,66819,7405456896.0,8.26,629339008.0,518.211337,1341,2916,172762,
2018-06-27,93155062.5384,280735,6706324992.0,7.48,716035968.0,374.0,1728,4228,172602,
2018-06-28,442035939.876,144743,7179860992.0,8.01,724915008.0,364.824261,2232,5304,172629,
2018-06-29,25396521.3113,215778,6694684672.0,7.47,802745984.0,298.484019,1855,4414,172705,
2018-06-30,149229583.994,115583,6936716800.0,7.74,832537984.0,215.767206,1725,4184,172348,
2018-07-01,34393192.1941,137605,7300490752.0,8.15,621643008.0,143.44,2125,5485,172641,
2018-07-02,80698652.8853,136374,7295588864.0,8.14,1024129984.0,260.48,3598,8820,172661,
2018-07-03,367355792.985,154296,7983562752.0,8.91,1006099968.0,406.9878615,6495,15278,172423,
2018-07-04,86784379.7551,121373,7934507520.0,8.85,935387008.0,447.952485,4290,9309,172721,
2018-07-05,180269128.84,132903,7960997888.0,8.88,958548992.0,427.000128,4318,10324,172715,
2018-07-06,149232024.547,164583,7979010048.0,8.9,604649984.0,355.11,4503,10083,172415,
2018-07-07,106251198.763,132155,7771829760.0,8.67,490260992.0,211.771686,3404,7329,170416,
2018-07-08,117476094.962,148823,8099587072.0,9.04,491667008.0,350.176152,2577,4867,170154,
2018-07-09,66518537.775,124232,7804520960.0,8.71,707878016.0,448.889012,2861,5490,172762,
2018-07-10,64185777.6701,607513,6941618688.0,7.75,707110016.0,644.270675,2551,5207,172610,
2018-07-11,158411186.479,676522,6461273600.0,7.21,599606976.0,657.4254645,2646,5162,172041,
2018-07-12,94097809.8847,353891,6427139072.0,7.17,597379968.0,179.25,2948,5718,172779,
2018-07-13,76244885.4214,936254,6196129792.0,6.91,586718016.0,0.000691,66769,71921,172417,
2018-07-14,100781361.25,2262137,6238633984.0,6.96,396983008.0,69.6,3854,6846,170900,
2018-07-15,137337562.808,3235261,6258305024.0,6.98,501440000.0,62.82,5086,9029,171027,
2018-07-16,261566163.584,2207468,6630412800.0,7.4,716972032.0,74.0,5848,12144,171175,
2018-07-17,92287149.5752,6321479,7233440768.0,8.07,847793984.0,20.175,7009,13040,164498,
2018-07-18,85008072.3754,6742775,7862690304.0,8.77,929459008.0,0.000877,12274,20206,168334,
2018-07-19,510843579.318,8307320,7686309888.0,8.58,852908992.0,66.07887,5011,9493,163750,
2018-07-20,191725694.743,5766056,7529680896.0,8.4,810102976.0,0.81396,9507,17413,168419,
2018-07-21,56083295.3229,7025941,7078066688.0,7.9,551660032.0,0.79,6805,19187,170205,
2018-07-22,53707107.7001,7545182,7189610496.0,8.02,497159008.0,8.24055,5393,10545,169867,
2018-07-23,79164683.5537,7166509,7061182976.0,7.88,630787008.0,0.000788,19249,28757,170213,
2018-07-24,350678149.433,6941005,7138045952.0,7.97,1007480000.0,0.000797,13417,20726,171849,
2018-07-25,97454560.8288,7274451,7667562496.0,8.56,835307008.0,0.856,9637,15234,170390,
2018-07-26,71415602.2122,7077989,7635130880.0,8.52,644028992.0,0.000852,31975,42982,168620,
2018-07-27,73398070.4619,3698243,7448687104.0,8.31,694945984.0,0.000831,86939,92324,171699,
2018-07-28,76570500.4594,5653858,7550309888.0,8.43,527104000.0,0.000843,71139,77620,171606,
2018-07-29,34595288.073,8416821,7473627136.0,8.34,615336000.0,0.000834,7281,10916,170963,
2018-07-30,126230798.153,8083187,7472990390.0,8.34,849398000.0,4.347642,4174,10251,170039,
2018-07-31,68393450.3058,7271418,6961992305.0,7.77,708842000.0,0.000777,14166,19772,170142,
2018-08-01,50425711.6091,7661172,6672807179.0,7.36,699077000.0,0.000736,10796,16676,170708,
2018-08-02,203854767.625,8216194,6558379662.0,7.24,559363000.0,0.000724,28846,38622,168679,
2018-08-03,39000821.2889,8361138,6386548250.0,7.05,521404000.0,0.000705,28265,35364,162113,
2018-08-04,42863960.7475,7215324,6524121153.0,7.2,465467000.0,0.00072,67031,86935,168018,
2018-08-05,89511936.2277,3364039,6339489579.0,7.0,481289000.0,0.0007,64403,78604,170414,
2018-08-06,50950606.9636,5985614,6394876718.0,7.06,477949000.0,0.000706,40912,77157,170405,
2018-08-07,55602082.5097,7390761,6395908647.0,7.06,572786000.0,0.000706,12504,17222,171412,
2018-08-08,266709172.782,6763662,5978783494.0,6.6,885000000.0,0.78408,9791,17844,171604,
2018-08-09,61311407.3761,7358344,5084729234.0,5.61,711726000.0,17.8959,5017,11393,172136,
2018-08-10,76892621.05,6806950,5260380255.0,5.8,771704000.0,0.00058,58708,65693,169937,
