date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,activeAddresses,medianTxValue(USD)
2017-11-29,178431328.472,4867,675057728.0,1.0,1672120064.0,24999000.0,2634,1681.75,
2017-11-30,198601875.375,5207,741867712.0,1.0,1043969984.0,0.0,2904,2102.0,
2017-12-01,83909111.8526,3584,769515648.0,1.01,749395968.0,25000000.0,2038,1491.77,
2017-12-02,189342262.124,4965,770857920.0,1.01,679950016.0,25000000.0,3283,1467.253159,
2017-12-03,159480589.676,4218,814847488.0,1.0,946748992.0,0.0,2652,995.0,
2017-12-04,84258449.8762,4158,816012096.0,1.0,668510016.0,0.0,2452,1049.83,
2017-12-05,108637518.548,4573,816872000.0,1.0,814145984.0,0.0,2724,1111.7804897,
2017-12-06,170323886.506,5275,813821696.0,0.99976,1281490048.0,0.0,3128,1197.71248,
2017-12-07,136491797.621,5971,819774912.0,1.01,1671609984.0,0.0,3691,2104.97736,
2017-12-08,108643172.899,3610,843586880.0,1.04,1993030016.0,0.0,2400,1678.677312,
2017-12-09,170199435.9,4283,830770624.0,1.02,1598909952.0,0.0,2582,1100.58,
2017-12-10,160807940.716,3932,831977600.0,1.02,1649500032.0,0.0,2426,1271.47891467,
2017-12-11,133343090.451,4638,824372928.0,1.01,1542119936.0,25000000.0,2862,1400.5492745,
2017-12-12,81526228.5483,6655,854806080.0,1.02,2240839936.0,0.0,3782,1215.84,
2017-12-13,278880325.584,5945,906934528.0,1.08,2198139904.0,50000000.0,3721,1290.11206356,
2017-12-14,390390003.449,6895,912768000.0,1.03,2336179968.0,130000000.0,3919,1151.575741,
2017-12-15,224522074.103,7299,1029020224.0,1.01,2044499968.0,0.0,4396,1433.19,
2017-12-16,256590011.82,7208,1036707968.0,1.02,1592729984.0,100000000.0,4470,1418.230083,
2017-12-17,220896592.449,9135,1132154368.0,1.01,1931020032.0,0.0,5571,1509.95,
2017-12-18,173350144.966,8631,1130792576.0,1.01,2517230080.0,0.0,5489,1499.85,
2017-12-19,283939892.498,8496,1133706240.0,1.01,3073860096.0,50000000.0,5420,2209.88,
2017-12-20,146611994.066,7300,1178882432.0,1.01,3751790080.0,50000000.0,4645,2014.95,
2017-12-21,242575285.983,5698,1171755648.0,1.0,3106720000.0,0.0,3779,1500.32381235,
2017-12-22,251280933.415,11051,1225820544.0,1.01,4687949824.0,0.0,6389,2165.966513,
2017-12-23,277750388.625,8767,1233177344.0,1.01,2353740032.0,0.0,5295,1994.75,
2017-12-24,279406763.247,5952,1279864320.0,1.05,2611589888.0,0.0,3185,4021.8757425,
2017-12-25,151870608.209,5300,1250340992.0,1.03,1708380032.0,0.0,3187,2044.55,
2017-12-26,262451970.292,6823,1230872192.0,1.01,1854780032.0,0.0,4529,1994.75,
2017-12-27,228820753.6,6212,1223800832.0,1.0,1939949952.0,0.0,4156,1800.0,
2017-12-28,273010602.282,6167,1222126080.0,1.0,2211409920.0,50000000.0,3870,2600.0,
2017-12-29,333344558.722,5976,1281974912.0,1.01,1929090048.0,100000000.0,3860,2020.0,
2017-12-30,290289056.88,6820,1378644736.0,1.01,2711059968.0,0.0,3951,2187.3681605,
2017-12-31,112036824.711,3812,1401350912.0,1.02,1927010048.0,0.0,2390,2014.5,
2018-01-01,129564452.259,4507,1385264256.0,1.01,1685299968.0,0.0,3253,5571.16,
2018-01-02,263433457.532,6998,1375936512.0,1.01,2635859968.0,0.0,4478,2584.7011,
2018-01-03,341173774.227,7921,1377124352.0,1.01,2471689984.0,0.0,5013,2040.94512761,
2018-01-04,498918127.538,11848,1386144640.0,1.01,3200130048.0,100000000.0,7885,4757.4535,
2018-01-05,257743618.75,8008,1470664960.0,1.0,3096620032.0,0.0,5339,1994.375,
2018-01-06,175801134.943,7615,1468496000.0,1.0,2620080128.0,0.0,5350,2500.0,
2018-01-07,152327337.044,6778,1478767744.0,1.01,2338180096.0,0.0,4816,1994.75,
2018-01-08,350021047.566,8014,1475635584.0,1.01,3815749888.0,0.0,5157,2550.56338406,
2018-01-09,270496990.835,7888,1480690432.0,1.01,2766180096.0,0.0,5220,2931.23715,
2018-01-10,313432059.301,7363,1475647488.0,1.01,3189860096.0,0.0,4607,3000.811,
2018-01-11,338281578.933,7090,1468054272.0,0.999976,3841110016.0,0.0,4312,3221.08485202,
2018-01-12,338487170.427,7344,1477266304.0,1.01,2668219904.0,0.0,4546,4588.37153275,
2018-01-13,184991442.396,6957,1474155136.0,1.0,2759879936.0,0.0,4272,3420.75655174,
2018-01-14,289377395.816,6115,1474488576.0,1.0,2960410112.0,50000000.0,3626,4416.0,
2018-01-15,509469087.119,8123,1490686976.0,1.02,2557179904.0,100000000.0,4927,6839.6816528,
2018-01-16,569436476.028,10409,1478028416.0,1.01,5552929792.0,100000000.0,6194,5226.75,
2018-01-17,632516600.888,11005,1671282432.0,1.03,5588839936.0,100000000.0,5915,5347.416598,
2018-01-18,820469610.008,10705,1646024832.0,1.02,4302300160.0,100000000.0,5588,7557.10613388,
2018-01-19,464389542.81,7545,1655831936.0,1.02,2876989952.0,100000000.0,4531,5100.0,
2018-01-20,294412085.016,6740,1629409280.0,1.01,2942779904.0,100000000.0,4201,5030.8724851,
2018-01-21,523153952.312,7111,1622821120.0,1.0,3302010112.0,0.0,4399,5792.0,
2018-01-22,268484360.183,7543,1624570880.0,1.0,3274899968.0,0.0,4549,5307.0,
2018-01-23,487824354.378,7911,1624555392.0,1.0,3126830080.0,100000000.0,4824,5144.5146856,
2018-01-24,315052833.343,8065,1619451264.0,1.0,2620630016.0,0.0,4934,5875.4,
2018-01-25,302976146.783,8548,1627038336.0,1.01,2571930112.0,0.0,5059,5608.126,
2018-01-26,377742901.703,8065,1614160768.0,0.997571,2957009920.0,0.0,4793,7731.17525,
2018-01-27,213205719.466,5366,1622632448.0,1.0,2051980032.0,0.0,3180,9238.412,
2018-01-28,441041738.617,7457,1612504576.0,0.996548,2546639872.0,0.0,4227,6194.7416776,
2018-01-29,319968982.119,7024,2251756544.0,0.98844,2031160064.0,0.0,4253,9167.781,
2018-01-30,717658520.224,7179,2275066368.0,0.998672,3108630016.0,0.0,4237,6746.21685687,
2018-01-31,502541362.343,6462,2230371840.0,0.992538,2663930112.0,-30000000.0,4332,3970.152,
2018-02-01,381475718.084,7725,2198423808.0,0.991558,3498899968.0,0.0,4973,4078.278054,
2018-02-02,418455070.453,7392,2186753536.0,0.986294,4785869824.0,0.0,4382,4153.74300591,
2018-02-03,253832266.639,7299,2203996416.0,0.994071,2488529920.0,0.0,5151,3853.60569789,
2018-02-04,223104166.466,7739,2226848256.0,1.0,2504640000.0,0.0,5909,5081.3222909,
2018-02-05,424323865.546,8857,2207815424.0,0.995794,4078980096.0,0.0,5604,3958.28115,
2018-02-06,384143593.768,9607,2169471488.0,0.9785,6247249920.0,0.0,5587,4398.3575,
2018-02-07,277695334.826,6603,2221905664.0,1.0,3307539968.0,0.0,4281,3000.0,
2018-02-08,342075750.866,4225,2205988096.0,0.99497,2466619904.0,0.0,3112,2457.5759,
2018-02-09,170852641.039,3792,2263895552.0,1.02,1631139968.0,0.0,2337,3820.34920533,
2018-02-10,246396133.745,4977,2224852736.0,1.0,2628379904.0,0.0,2826,5000.0,
2018-02-11,253457921.157,3879,2228046592.0,1.0,2431739904.0,0.0,2073,6595.44030717,
2018-02-12,213837154.323,3951,2217608960.0,1.0,2457489920.0,0.0,2292,4347.0,
2018-02-13,159920241.456,3676,2218904320.0,1.0,2226759936.0,0.0,2167,3874.7554,
2018-02-14,173358245.724,3963,2212075776.0,0.997715,3066190080.0,0.0,2331,4674.294775,
2018-02-15,213390497.08,4227,2228322048.0,1.01,3286909952.0,0.0,2418,4775.06573571,
2018-02-16,136119342.59,3909,2228312064.0,1.01,2605819904.0,0.0,2765,2020.0,
2018-02-17,168641570.931,3626,2227641856.0,1.0,2797600000.0,0.0,2099,3307.63571741,
2018-02-18,139038720.953,3361,2227521024.0,1.0,3124179968.0,0.0,2029,3798.0,
2018-02-19,130930893.052,3172,2220089088.0,1.0,2546439936.0,0.0,1907,3074.0,
2018-02-20,198163192.36,3863,2218574848.0,1.0,3126220032.0,0.0,2326,3025.0,
2018-02-21,267847534.988,5523,2229033728.0,1.01,3459830016.0,0.0,2953,4080.4,
2018-02-22,801500150.203,4322,2220534528.0,1.0,2904620032.0,0.0,2451,3677.28576781,
2018-02-23,244155141.109,4551,2235883264.0,1.01,2815280128.0,0.0,2816,2217.08293345,
2018-02-24,243160888.88,3542,2219662080.0,1.0,2417710080.0,0.0,2240,3962.56565912,
2018-02-25,102619010.121,2377,2227758336.0,1.0,1968850048.0,0.0,1581,2210.3,
2018-02-26,190250960.587,6283,2211961600.0,0.997664,2362210048.0,0.0,4824,2823.38912,
2018-02-27,171089780.756,7388,2214207488.0,0.998677,2473019904.0,0.0,5653,2571.593275,
2018-02-28,145495582.369,3722,2224427520.0,1.0,2414230016.0,0.0,2382,2791.6,
2018-03-01,168506870.121,4360,2216801280.0,0.999847,2285570048.0,0.0,2862,2098.0926427,
2018-03-02,164351218.806,3435,2213125120.0,0.998189,2172250112.0,0.0,2064,3398.833545,
2018-03-03,123518128.571,3063,2206604800.0,0.995248,2181489920.0,0.0,1771,2513.62379379,
2018-03-04,118973184.589,2493,2217572864.0,1.0,2133910016.0,0.0,1554,2623.0,
2018-03-05,246768727.082,3609,2211643648.0,0.997521,2227680000.0,0.0,2150,2653.74905275,
2018-03-06,279575695.127,9940,2228314880.0,1.01,2491849984.0,0.0,8440,3737.0,
2018-03-07,294398824.19,16480,2213490432.0,0.998354,3037380096.0,0.0,14715,1878.18099166,
2018-03-08,272498011.794,5394,2220542208.0,1.0,2636689920.0,0.0,3151,3555.72291928,
2018-03-09,338077556.319,6887,2216526848.0,0.999723,3131620096.0,0.0,4207,2702.8511028,
2018-03-10,164877040.692,4061,2211836160.0,0.997607,2218810112.0,0.0,2658,6790.08195755,
2018-03-11,194444873.509,4422,2224830208.0,1.0,2394810112.0,0.0,3184,8699.4281128,
2018-03-12,195616576.395,9180,2217541888.0,1.0,2155559936.0,0.0,7795,864.710349,
2018-03-13,274895331.096,12506,2221213440.0,1.0,1890040064.0,0.0,11103,410.0,
2018-03-14,248779719.583,5874,2209560576.0,0.996581,2151670016.0,0.0,3650,1485.94776632,
2018-03-15,455499650.486,6636,2218615040.0,1.0,2259869952.0,0.0,3569,4028.4,
2018-03-16,318982163.453,4840,2211618048.0,0.997509,1872050048.0,0.0,2879,2691.9775383,
2018-03-17,275038142.59,3661,2220585984.0,1.0,1687920000.0,0.0,2098,2840.92707908,
2018-03-18,342601640.307,5937,2228614400.0,1.01,2639470080.0,0.0,3480,2765.662598,
2018-03-19,513286612.645,7284,2177662464.0,0.982194,2638089984.0,0.0,4094,6284.077212,
2018-03-20,335153513.169,5571,2230491648.0,1.01,2506319872.0,300000000.0,3222,5234.07741978,
