date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,activeAddresses,medianTxValue(USD)
2014-10-06,,5,,,,100.0,6,,
2014-10-07,,2,,,,0.0,4,,
2014-10-08,,1,,,,0.0,2,,
2014-10-09,,2,,,,0.0,4,,
2014-10-10,,3,,,,0.0,4,,
2014-10-11,,1,,,,0.0,2,,
2014-10-12,,1,,,,0.0,2,,
2014-10-13,,2,,,,0.0,4,,
2014-10-14,,0,,,,0.0,0,,
2014-10-15,,0,,,,0.0,0,,
2014-10-16,,0,,,,0.0,0,,
2014-10-17,,0,,,,0.0,0,,
2014-10-18,,0,,,,0.0,0,,
2014-10-19,,0,,,,0.0,0,,
2014-10-20,,0,,,,0.0,0,,
2014-10-21,,10,,,,0.0,6,,
2014-10-22,,1,,,,0.0,2,,
2014-10-23,,0,,,,0.0,0,,
2014-10-24,,0,,,,0.0,0,,
2014-10-25,,0,,,,0.0,0,,
2014-10-26,,0,,,,0.0,0,,
2014-10-27,,0,,,,0.0,0,,
2014-10-28,,2,,,,0.0,3,,
2014-10-29,,0,,,,0.0,0,,
2014-10-30,,0,,,,0.0,0,,
2014-10-31,,1,,,,0.0,2,,
2014-11-01,,0,,,,0.0,0,,
2014-11-02,,0,,,,0.0,0,,
2014-11-03,,0,,,,0.0,0,,
2014-11-04,,1,,,,0.0,2,,
2014-11-05,,0,,,,0.0,0,,
2014-11-06,,0,,,,0.0,0,,
2014-11-07,,0,,,,0.0,0,,
2014-11-08,,0,,,,0.0,0,,
2014-11-09,,0,,,,0.0,0,,
2014-11-10,,0,,,,0.0,0,,
2014-11-11,,0,,,,0.0,0,,
2014-11-12,,0,,,,0.0,0,,
2014-11-13,,1,,,,0.0,2,,
2014-11-14,,16,,,,0.0,8,,
2014-11-15,,2,,,,0.0,3,,
2014-11-16,,2,,,,0.0,3,,
2014-11-17,,0,,,,0.0,0,,
2014-11-18,,2,,,,0.0,3,,
2014-11-19,,0,,,,0.0,0,,
2014-11-20,,1,,,,0.0,2,,
2014-11-21,,4,,,,0.0,5,,
2014-11-22,,1,,,,0.0,2,,
2014-11-23,,0,,,,0.0,0,,
2014-11-24,,1,,,,0.0,2,,
2014-11-25,,2,,,,0.0,3,,
2014-11-26,,4,,,,0.0,4,,
2014-11-27,,1,,,,0.0,2,,
2014-11-28,,0,,,,0.0,0,,
2014-11-29,,0,,,,0.0,0,,
2014-11-30,,0,,,,0.0,0,,
2014-12-01,,0,,,,0.0,0,,
2014-12-02,,0,,,,0.0,0,,
2014-12-03,,0,,,,0.0,0,,
2014-12-04,,7,,,,0.0,3,,
2014-12-05,,7,,,,0.0,3,,
2014-12-06,,6,,,,0.0,4,,
2014-12-07,,2,,,,0.0,2,,
2014-12-08,,6,,,,0.0,4,,
2014-12-09,,5,,,,0.0,4,,
2014-12-10,,1,,,,0.0,2,,
